# epochs, maes, mses, mxes, l1res, l2res, crmses, frmses(low, mid, high)
1.000000000000000000e+03 5.338756129284764063e-01 3.753061527720233936e-01 1.075119972229003906e+00 1.012326373045948413e+00 1.006467302991017831e+00 1.862133511205106215e-02 nan nan nan
2.000000000000000000e+03 5.339631049089125225e-01 3.727969139286514966e-01 1.013391740620136261e+00 1.012492273935744924e+00 1.003097118112444175e+00 3.209996709110678279e-03 6.380181261191308906e-01 1.887830816714090865e-02 3.818892775696828834e-01
3.000000000000000000e+03 5.342592132025433260e-01 3.711980026232700736e-01 1.011983016505837440e+00 1.013053749732093500e+00 1.000943684584598481e+00 1.833448510925223028e-03 nan nan nan
4.000000000000000000e+03 5.338064589264999160e-01 3.692598607616037198e-01 1.011569472029805183e+00 1.012195244336737465e+00 9.983271433113388715e-01 1.288248487270109762e-03 1.925403480759818042e-01 1.254716962907386109e-02 3.790169564260226776e-01
5.000000000000000000e+03 5.334709005609593602e-01 3.681224257980979520e-01 1.012155298143625259e+00 1.011558963946873613e+00 9.967883787232397763e-01 9.847113680377535781e-04 nan nan nan
6.000000000000000000e+03 5.330048081585453401e-01 3.673103199355533532e-01 1.005412185564637184e+00 1.010675167010257836e+00 9.956882764533110386e-01 1.085961477069888022e-03 1.229244756063150729e-01 9.180100164466173385e-03 3.776473106434928839e-01
7.000000000000000000e+03 5.343926016700862869e-01 3.681059377696718760e-01 1.006429743021726608e+00 1.013306678804491545e+00 9.967660556344989375e-01 1.010959570874798736e-04 nan nan nan
8.000000000000000000e+03 5.346125885830641522e-01 3.679495719146732569e-01 1.009264782071113586e+00 1.013723814459950301e+00 9.965543275478139229e-01 3.801121846487381489e-05 1.738844633798235922e-02 7.377320936608314922e-03 3.794550765086730504e-01
9.000000000000000000e+03 5.352485893884586510e-01 3.682318890099625097e-01 1.012992706149816513e+00 1.014929788984704651e+00 9.969365679393910051e-01 2.792044058328248843e-04 nan nan nan
1.000000000000000000e+04 5.364191830321582977e-01 3.695316583650691822e-01 1.013295376673340797e+00 1.017149449873758771e+00 9.986944903222371162e-01 4.198730697697410064e-04 3.387133327543412342e-02 6.605571541526737700e-03 3.823309173583894216e-01
1.100000000000000000e+04 5.368071636517214307e-01 3.698454875953179899e-01 1.016511574387550354e+00 1.017885132500766288e+00 9.991184770098044954e-01 6.250061956869981260e-05 nan nan nan
1.200000000000000000e+04 5.376539555679827886e-01 3.708918951586221424e-01 1.018487203866243362e+00 1.019490805748531459e+00 1.000530886664524832e+00 4.516494233896658139e-04 3.029351841175374066e-02 5.957032996607974223e-03 3.847214990212142749e-01
1.300000000000000000e+04 5.364785123675450684e-01 3.720293626896281070e-01 1.041618920862674713e+00 1.017261949207785010e+00 1.002063948152031481e+00 2.983497144156177549e-04 nan nan nan
1.400000000000000000e+04 5.390678843840932544e-01 3.725782457669729597e-01 1.020770980045199394e+00 1.022171874888039067e+00 1.002802886093733470e+00 9.463956800382781250e-04 4.462364632943633391e-01 2.133333760687896458e-02 3.865392964715546054e-01
1.500000000000000000e+04 5.383973002955997345e-01 3.718882972365132877e-01 1.019357848912477493e+00 1.020900324096641665e+00 1.001873949698342647e+00 7.816692914860142805e-04 nan nan nan
1.600000000000000000e+04 5.380228132476400082e-01 3.713034297385239269e-01 1.018273912370204926e+00 1.020190227763650759e+00 1.001085817775829723e+00 4.034679409062299550e-04 3.101935599178949274e-02 6.045434954639200727e-03 3.852835993511019574e-01
1.700000000000000000e+04 5.379011951334314867e-01 3.708909480811688475e-01 1.018997434526681900e+00 1.019959617446430933e+00 1.000529609229157124e+00 1.951108187260462354e-04 nan nan nan
1.800000000000000000e+04 5.380069392424778885e-01 3.708614504307439219e-01 1.019024636596441269e+00 1.020160127729705879e+00 1.000489821442962501e+00 2.491354865236882453e-04 2.221331497083287032e-02 5.186721322299371259e-03 3.849791814132234036e-01
1.900000000000000000e+04 5.382311030116647688e-01 3.710497280438465051e-01 1.017688674852252007e+00 1.020585183472905166e+00 1.000743751763344624e+00 1.471712623703013518e-04 nan nan nan
2.000000000000000000e+04 5.380579187905882854e-01 3.707414634096560246e-01 1.018161416053771973e+00 1.020256794331042327e+00 1.000327961124886089e+00 2.285466079102501237e-04 9.682817919215980923e-03 4.592040460098095397e-03 3.849008382613125501e-01
