# epochs, maes, mses, mxes, l1res, l2res, crmses, frmses(low, mid, high)
1.000000000000000000e+03 1.313948819996837436e-01 5.000427583812986493e-02 8.653113543987274170e-01 2.491488674710456153e-01 3.673756771049744851e-01 2.260066532599772256e-03 nan nan nan
2.000000000000000000e+03 3.826540906793698266e-02 4.141629608500107043e-03 3.315314352508309526e-01 7.255825483838651557e-02 1.057285939726380075e-01 1.098849414152556700e-03 1.180150606764461714e-02 2.886931140153476414e-04 4.038780835593049241e-03
3.000000000000000000e+03 1.779541423758522478e-02 1.592437562475980221e-03 4.902104139322668308e-01 3.374337901139216889e-02 6.555986264627532145e-02 3.043138565832291097e-03 nan nan nan
4.000000000000000000e+03 1.208373451559937098e-02 8.801881862472502168e-04 4.244140982623225145e-01 2.291298354672302584e-02 4.874101805181485503e-02 2.931322873936046021e-03 5.788778065447634097e-02 8.320080645236565121e-05 6.737295476180385620e-04
5.000000000000000000e+03 9.579214352939581165e-03 4.776941240980643144e-04 4.072356820113396392e-01 1.816395259065741938e-02 3.590721962470352219e-02 9.398971173804681689e-04 nan nan nan
6.000000000000000000e+03 1.201759408371084852e-02 1.326127248052969086e-03 4.693876206868728973e-01 2.278756912077064406e-02 5.982730332271113394e-02 5.879533792314972467e-03 2.493211205885479953e-01 9.651787763466789134e-04 9.972287035487480827e-04
7.000000000000000000e+03 8.938644555820964704e-03 4.064294011137821439e-04 3.355134427554344878e-01 1.694931441708955738e-02 3.312069085746282421e-02 6.137629571893329916e-03 nan nan nan
8.000000000000000000e+03 7.870068242165132594e-03 3.235390319777552625e-04 3.152790367610192046e-01 1.492309715274910825e-02 2.955086305520875090e-02 1.904855300378422876e-03 2.565874855226821238e-02 7.275387048765465483e-05 2.680446610129143237e-04
9.000000000000000000e+03 6.658062623845908273e-03 3.212888849928207031e-04 2.800642549998497710e-01 1.262491154173340721e-02 2.944792369513594618e-02 1.779590318407279657e-03 nan nan nan
1.000000000000000000e+04 8.589172713173359730e-03 4.621153444731892612e-04 2.692232429974324992e-01 1.628665151512903933e-02 3.531685506971207755e-02 1.070674735147720234e-03 6.789275908908093751e-03 6.476296571795706660e-06 3.573755708614750610e-04
1.100000000000000000e+04 5.826164192066411382e-03 1.112176996743272675e-04 1.002011895175698442e-01 1.104747908032825514e-02 1.732581937812485359e-02 6.545146439057215197e-06 nan nan nan
1.200000000000000000e+04 5.815412953130327106e-03 1.176539291417922798e-04 1.089586317535164994e-01 1.102709275352412380e-02 1.782009627760155340e-02 2.151944554641705971e-04 5.264423964988489569e-04 7.964147137044915516e-06 9.431038784953740882e-05
1.300000000000000000e+04 5.709506056169898203e-03 1.069094843620909790e-04 1.031956896181824845e-01 1.082627379441788475e-02 1.698693190582578616e-02 5.224529669678242439e-04 nan nan nan
1.400000000000000000e+04 1.136944115389540433e-02 2.567808504287455635e-04 1.306851357214696696e-01 2.155855193262821295e-02 2.632619809316010667e-02 6.396675732194347791e-03 2.531344777990983674e-01 6.729064006762189639e-06 1.877865357994034149e-04
1.500000000000000000e+04 5.948040896769981982e-03 1.035404482572154189e-04 9.312481433112651530e-02 1.127857973269666934e-02 1.671713496921371084e-02 1.668842438131963460e-03 nan nan nan
1.600000000000000000e+04 5.420327284659029812e-03 9.305917797075958055e-05 9.115047752816707316e-02 1.027793764675290385e-02 1.584843687513439250e-02 9.078620534779476047e-04 5.516633764196517652e-03 1.000190806640783720e-05 7.534277723629822815e-05
1.700000000000000000e+04 5.730860880015104138e-03 9.155079138485917715e-05 8.713407069404155436e-02 1.086676646882882118e-02 1.571946929790149494e-02 7.475248565584135607e-04 nan nan nan
1.800000000000000000e+04 7.657618082479537673e-03 1.538272215946389222e-04 1.120229363436823639e-01 1.452025256798182562e-02 2.037621086881042168e-02 4.647169546349384610e-03 1.370664776867362988e-01 4.917370309340544834e-04 1.030058323919188004e-04
1.900000000000000000e+04 6.265469484739369377e-03 7.900083294141169448e-05 7.797789573669433594e-02 1.188048272915962454e-02 1.460234696839817457e-02 5.502622963490419157e-04 nan nan nan
2.000000000000000000e+04 5.428879971937929615e-03 6.795473874110430693e-05 8.257353305816650391e-02 1.029415511517284623e-02 1.354305686449300446e-02 3.301914325274302913e-04 1.536110291287814001e-03 3.753378082323169580e-05 5.661613561447834803e-05
