# epochs, maes, mses, mxes, l1res, l2res, crmses, frmses(low, mid, high)
1.500000000000000000e+03 7.616183915187593190e-01 8.303828306583239671e-01 4.011663941200822592e+00 9.957507715754534416e-01 9.964016633353659502e-01 6.668450784506998463e-01 nan nan nan
3.000000000000000000e+03 7.616106932294423038e-01 8.303994753636861903e-01 4.010487365536391735e+00 9.957407067219616881e-01 9.964116495299186749e-01 6.668395901370246515e-01 nan nan nan
4.500000000000000000e+03 7.615584614094819127e-01 8.303542705387363387e-01 4.011223528999835253e+00 9.956724180939485747e-01 9.963845281091150419e-01 6.667605858073700764e-01 nan nan nan
6.000000000000000000e+03 7.613793364239412886e-01 8.298687955295354080e-01 4.009448326192796230e+00 9.954382275274565872e-01 9.960932123847867636e-01 6.665888970267098701e-01 2.046619795795410482e+03 3.234581121689504846e-01 6.973453607231548668e-02
7.500000000000000000e+03 7.615389030926510427e-01 8.302844369186179740e-01 4.009976663161069155e+00 9.956468472709590900e-01 9.963426287631859113e-01 6.667554779988924540e-01 nan nan nan
9.000000000000000000e+03 7.615202390962509948e-01 8.302532368799125928e-01 4.010233031120151281e+00 9.956224456952842417e-01 9.963239085395868555e-01 6.667307088182559127e-01 nan nan nan
1.050000000000000000e+04 7.615460626318153459e-01 8.303364415633947004e-01 4.009724723640829325e+00 9.956562077548003487e-01 9.963738311023243588e-01 6.668022008393955646e-01 nan nan nan
1.200000000000000000e+04 7.615503351976606883e-01 8.302888529683490892e-01 4.011411687824875116e+00 9.956617937684582031e-01 9.963452783929704903e-01 6.667680574368046731e-01 2.048349100370024644e+03 3.234625787001353947e-01 6.973152034411021771e-02
1.350000000000000000e+04 7.614943564084282190e-01 8.302003523586396483e-01 4.010904787108302116e+00 9.955886062992599372e-01 9.962921766837682380e-01 6.667022840259504424e-01 nan nan nan
1.500000000000000000e+04 7.614579049214501572e-01 8.301802146998796816e-01 4.010441303253173828e+00 9.955409491041505854e-01 9.962800933875568532e-01 6.667053351919043358e-01 nan nan nan
1.650000000000000000e+04 7.615234036999245504e-01 8.302487708345692718e-01 4.010158387012779713e+00 9.956265831433616098e-01 9.963212288549206930e-01 6.667426775779140558e-01 nan nan nan
1.800000000000000000e+04 7.615022258601540361e-01 8.302196745804881761e-01 4.009998113382607698e+00 9.955988949329315219e-01 9.963037705516822884e-01 6.667101203594648640e-01 2.048454357219747635e+03 3.234581610753899383e-01 6.973839705455395221e-02
1.950000000000000000e+04 7.614361895594112806e-01 8.301118650863592574e-01 4.009732888080179691e+00 9.955125581294236303e-01 9.962390801474291235e-01 6.666368978873691287e-01 nan nan nan
2.100000000000000000e+04 7.614740056998928752e-01 8.301881313022594355e-01 4.009013714734464884e+00 9.955619994920297255e-01 9.962848436420291831e-01 6.666942961059543205e-01 nan nan nan
2.250000000000000000e+04 7.615364092807285212e-01 8.302465857228868984e-01 4.010717567056417465e+00 9.956435868256052757e-01 9.963199177571716580e-01 6.667586126128915991e-01 nan nan nan
2.400000000000000000e+04 7.615124373747762521e-01 8.302268798608396505e-01 4.010280048940330744e+00 9.956122456131111242e-01 9.963080938847870272e-01 6.667254148877915787e-01 2.048317835639371879e+03 3.234870597164994921e-01 6.973749196380911453e-02
