# epochs, maes, mses, mxes, l1res, l2res, crmses, frmses(low, mid, high)
1.500000000000000000e+03 7.615743497805224083e-01 8.303075242811690515e-01 4.012302519287914038e+00 9.956931907773538537e-01 9.963564811025570345e-01 6.667663660714097107e-01 nan nan nan
3.000000000000000000e+03 7.617110946227967361e-01 8.306346784933797966e-01 4.010506653692573309e+00 9.958719729387616182e-01 9.965527518262886630e-01 6.669164019903863760e-01 nan nan nan
4.500000000000000000e+03 7.615699201124495055e-01 8.303553806004909665e-01 4.010688621550798416e+00 9.956873993659981492e-01 9.963851941188094363e-01 6.667580180047086857e-01 nan nan nan
6.000000000000000000e+03 7.652263903558136349e-01 8.375229243825241809e-01 4.015092300716787577e+00 1.000467920827424528e+00 1.000676302095341752e+00 6.712168007397634195e-01 2.065863514310611663e+03 3.234136281736615937e-01 6.966463471007658392e-02
7.500000000000000000e+03 7.614732732620039801e-01 8.301844009037901984e-01 4.010451841168105602e+00 9.955610418922643534e-01 9.962826052676833077e-01 6.666675523500139589e-01 nan nan nan
9.000000000000000000e+03 7.615358767394182493e-01 8.302720691016798327e-01 4.010597879067063332e+00 9.956428905734842072e-01 9.963352080356728813e-01 6.667394706771223589e-01 nan nan nan
1.050000000000000000e+04 7.615168186716084753e-01 8.302468522079949897e-01 4.010342427063733339e+00 9.956179737832153709e-01 9.963200776520777513e-01 6.667173088228276479e-01 nan nan nan
1.200000000000000000e+04 7.615197314968463749e-01 8.303109749402007855e-01 4.009568453766405582e+00 9.956217820525671280e-01 9.963585514697509415e-01 6.666795957434411557e-01 2.048729474392120210e+03 3.234570469440407603e-01 6.975231454574097600e-02
1.350000000000000000e+04 7.614770864515840731e-01 8.302049058926894709e-01 4.010250505059957504e+00 9.955660273108267733e-01 9.962949089423829285e-01 6.666843555055274040e-01 nan nan nan
1.500000000000000000e+04 7.615256902083190615e-01 8.302516743083285800e-01 4.008988227695226669e+00 9.956295725571197019e-01 9.963229709773520071e-01 6.667278151175298762e-01 nan nan nan
1.650000000000000000e+04 7.615038024762607050e-01 8.302336591475137917e-01 4.009810272604227066e+00 9.956009562233654187e-01 9.963121615948070664e-01 6.667062592158575773e-01 nan nan nan
1.800000000000000000e+04 7.614458198707846348e-01 8.301195076076813839e-01 4.009887594264000654e+00 9.955251489361679473e-01 9.962436661322873199e-01 6.666229485660598586e-01 2.048743262461827271e+03 3.234780242600740485e-01 6.977215672333721141e-02
1.950000000000000000e+04 7.614755659947972655e-01 8.302169645471135784e-01 4.010455929208546877e+00 9.955640394438903806e-01 9.963021444647830460e-01 6.666903599335607389e-01 nan nan nan
2.100000000000000000e+04 7.615176505190329737e-01 8.302396938386070735e-01 4.009803365450352430e+00 9.956190613524285027e-01 9.963157825183481808e-01 6.667255379835642648e-01 nan nan nan
2.250000000000000000e+04 7.614606975712534531e-01 8.301706602631381271e-01 4.010033637285232544e+00 9.955446002544213746e-01 9.962743603416780447e-01 6.666671427489254675e-01 nan nan nan
2.400000000000000000e+04 7.617352633067342449e-01 8.306228781316544740e-01 4.009553424082696438e+00 9.959035714216064594e-01 9.965456730677078045e-01 6.670642359037941560e-01 2.048501423331973456e+03 3.235110839034515684e-01 6.975056723889164201e-02
