# epochs, maes, mses, mxes, l1res, l2res, crmses, frmses(low, mid, high)
1.000000000000000000e+03 1.685185256826090550e-01 6.497251362444568523e-02 8.613256514072418213e-01 3.195421251020524323e-01 4.187662402745809254e-01 3.301928404331049526e-03 nan nan nan
2.000000000000000000e+03 1.479065632720076018e-01 5.465590356182600806e-02 8.320146873593330383e-01 2.804580526267677620e-01 3.840832497878265972e-01 8.254874800305601890e-04 5.826393809482768166e-03 2.427567682626381902e-03 5.656322051838166831e-02
3.000000000000000000e+03 1.244982703053282291e-01 4.056639481223636018e-02 7.447799742221832275e-01 2.360716230085072587e-01 3.308948706170776188e-01 2.788166453500520899e-03 nan nan nan
4.000000000000000000e+03 8.115453392260886523e-02 1.714975937853193202e-02 4.443440735340118408e-01 1.538839253800404483e-01 2.151472720935680982e-01 8.997947738804862620e-04 6.002273887274933023e-03 8.828611854523842192e-04 1.732864019475292491e-02
5.000000000000000000e+03 6.437575018778138314e-02 1.105163788830699004e-02 3.558393716812133789e-01 1.220682648196547565e-01 1.727110608375764245e-01 4.015660683379137022e-03 nan nan nan
6.000000000000000000e+03 5.872029372768777095e-02 9.606098550462351462e-03 3.179092407226562500e-01 1.113444790022777714e-01 1.610201946593426137e-01 3.028566972125697112e-03 5.862010586399009349e-02 3.727182257275232801e-04 9.361261633890709949e-03
7.000000000000000000e+03 5.627711858365189168e-02 8.837303917397032818e-03 2.910268902778625488e-01 1.067117694864580107e-01 1.544424647074714163e-01 2.316093091369583745e-03 nan nan nan
8.000000000000000000e+03 5.227033058765419293e-02 8.155193687969934310e-03 2.985853180289268494e-01 9.911416236351230924e-02 1.483624404301623345e-01 2.076079439458052619e-03 2.732620797332407925e-02 2.839990656218298586e-04 7.845283582735441269e-03
9.000000000000000000e+03 4.969773354177482727e-02 7.669175249006079942e-03 3.082831427454948425e-01 9.423604511354405355e-02 1.438736161570469130e-01 1.084660923325064504e-03 nan nan nan
1.000000000000000000e+04 4.816820560487539149e-02 7.190168257294654586e-03 3.089472874999046326e-01 9.133577877558474167e-02 1.393080955556691147e-01 1.399388714423867612e-03 1.220964544916347018e-02 1.990232391402769660e-04 6.842798047791706986e-03
1.100000000000000000e+04 4.681872928844046239e-02 6.927772271831421531e-03 3.057780191302299500e-01 8.877692343204425518e-02 1.367425360154332081e-01 1.278637299396597361e-03 nan nan nan
1.200000000000000000e+04 4.416501819389935524e-02 6.421772804227246501e-03 3.050826713442802429e-01 8.374499902419817177e-02 1.316540721651697221e-01 7.326540491738726653e-04 3.575746669826258134e-03 1.915173071956024684e-04 6.079880975277980083e-03
1.300000000000000000e+04 4.255791554314765357e-02 6.080574573250892116e-03 2.994009554386138916e-01 8.069763675825035454e-02 1.281088515678547590e-01 4.419572887187446422e-04 nan nan nan
1.400000000000000000e+04 4.156650328987793186e-02 5.730714016454944645e-03 2.724975943565368652e-01 7.881773674738339064e-02 1.243687291287198932e-01 1.399413746940176553e-03 1.212128556855885872e-02 1.457255131381226556e-04 5.453269913809340001e-03
1.500000000000000000e+04 3.920119613234001460e-02 5.180332051304392324e-03 2.601410448551177979e-01 7.433267925843836665e-02 1.182457737708854373e-01 2.348660811224313337e-04 nan nan nan
1.600000000000000000e+04 3.793413257062518834e-02 5.150711858583222405e-03 3.564827442163854831e-01 7.193009365837033098e-02 1.179072352806857932e-01 2.333997475511142162e-03 3.685209667235626874e-02 1.258225576126886509e-04 4.787166975492672567e-03
1.700000000000000000e+04 3.832401953288092772e-02 5.043010714191726272e-03 3.628198802465826267e-01 7.266939106181088959e-02 1.166680056079777428e-01 2.370265839449273420e-03 nan nan nan
1.800000000000000000e+04 3.681276167354211731e-02 4.919495359108894822e-03 3.715102970594793552e-01 6.980376815184177741e-02 1.152304097023863078e-01 2.818127492245008341e-03 5.235872296159985867e-02 2.099441883178640098e-04 4.540577259440323893e-03
1.900000000000000000e+04 3.635938653771707274e-02 4.846097211031893080e-03 3.749931752675613739e-01 6.894408549212742432e-02 1.143675688502945598e-01 2.874238700566644072e-03 nan nan nan
2.000000000000000000e+04 3.633643712998529257e-02 4.653564562401447252e-03 3.581122457974991180e-01 6.890056919333034657e-02 1.120726652514828087e-01 3.109217547719052462e-03 6.418506831652597000e-02 1.549912395168958398e-04 4.307628850623105785e-03
